Ticker,Actual,Estimate,Time,Date,date_minus_30,date_30
HAS,0.21,-0.11199999999999999,2019-04-23 06:30:00,2019-04-23,2019-03-11,2019-06-05
PHM,0.59,0.473,2019-04-23 06:30:00,2019-04-23,2019-03-11,2019-06-05
DGX,1.4,1.364,2019-04-23 06:45:00,2019-04-23,2019-03-11,2019-06-05
HOG,0.98,0.855,2019-04-23 06:50:00,2019-04-23,2019-03-11,2019-06-05
WAT,1.6,1.724,2019-04-23 06:50:00,2019-04-23,2019-03-11,2019-06-05
UTX,1.91,1.7109999999999999,2019-04-23 06:55:00,2019-04-23,2019-03-11,2019-06-05
SHW,3.6,3.657,2019-04-23 07:00:00,2019-04-23,2019-03-11,2019-06-05
STT,1.24,1.195,2019-04-23 07:00:00,2019-04-23,2019-03-11,2019-06-05
TWTR,0.37,0.147,2019-04-23 07:00:00,2019-04-23,2019-03-11,2019-06-05
KO,0.48,0.46299999999999997,2019-04-23 07:03:00,2019-04-23,2019-03-11,2019-06-05
LMT,5.99,4.343,2019-04-23 07:30:00,2019-04-23,2019-03-11,2019-06-05
NEE,2.2,2.0469999999999997,2019-04-23 07:30:00,2019-04-23,2019-03-11,2019-06-05
NUE,1.63,1.504,2019-04-23 07:30:00,2019-04-23,2019-03-11,2019-06-05
VZ,1.2,1.167,2019-04-23 07:30:00,2019-04-23,2019-03-11,2019-06-05
NTRS,1.53,1.469,2019-04-23 07:33:00,2019-04-23,2019-03-11,2019-06-05
TXN,1.26,1.128,2019-04-23 16:01:00,2019-04-23,2019-03-11,2019-06-05
SYK,1.88,1.839,2019-04-23 16:05:00,2019-04-23,2019-03-11,2019-06-05
RHI,0.93,0.951,2019-04-23 16:13:00,2019-04-23,2019-03-11,2019-06-05
EBAY,0.67,0.628,2019-04-23 16:15:00,2019-04-23,2019-03-11,2019-06-05
EW,1.32,1.224,2019-04-23 16:15:00,2019-04-23,2019-03-11,2019-06-05
FE,0.67,0.67,2019-04-23 16:20:00,2019-04-23,2019-03-11,2019-06-05
ANTM,6.03,5.84,2019-04-24 06:00:00,2019-04-24,2019-03-12,2019-06-06
SWK,1.42,1.113,2019-04-24 06:00:00,2019-04-24,2019-03-12,2019-06-06
TMO,2.81,2.73,2019-04-24 06:00:00,2019-04-24,2019-03-12,2019-06-06
BSX,0.35,0.35600000000000004,2019-04-24 06:30:00,2019-04-24,2019-03-12,2019-06-06
MKTX,1.39,1.375,2019-04-24 06:30:00,2019-04-24,2019-03-12,2019-06-06
NOC,5.06,4.587,2019-04-24 06:38:00,2019-04-24,2019-03-12,2019-06-06
BIIB,6.98,6.994,2019-04-24 06:39:00,2019-04-24,2019-03-12,2019-06-06
AVY,1.48,1.455,2019-04-24 06:45:00,2019-04-24,2019-03-12,2019-06-06
T,0.86,0.858,2019-04-24 06:49:00,2019-04-24,2019-03-12,2019-06-06
DTE,2.05,1.959,2019-04-24 06:50:00,2019-04-24,2019-03-12,2019-06-06
MCO,2.07,1.9340000000000002,2019-04-24 07:00:00,2019-04-24,2019-03-12,2019-06-06
NDAQ,1.22,1.163,2019-04-24 07:00:00,2019-04-24,2019-03-12,2019-06-06
BA,3.16,3.2510000000000003,2019-04-24 07:30:00,2019-04-24,2019-03-12,2019-06-06
CAT,2.94,2.846,2019-04-24 07:30:00,2019-04-24,2019-03-12,2019-06-06
FLIR,0.53,0.483,2019-04-24 07:30:00,2019-04-24,2019-03-12,2019-06-06
GD,2.56,2.415,2019-04-24 07:30:00,2019-04-24,2019-03-12,2019-06-06
ROL,0.13,0.152,2019-04-24 07:30:00,2019-04-24,2019-03-12,2019-06-06
TROW,1.87,1.683,2019-04-24 07:30:00,2019-04-24,2019-03-12,2019-06-06
APH,0.89,0.8809999999999999,2019-04-24 08:00:00,2019-04-24,2019-03-12,2019-06-06
NSC,2.51,2.1790000000000003,2019-04-24 08:00:00,2019-04-24,2019-03-12,2019-06-06
ALGN,0.89,0.825,2019-04-24 16:00:00,2019-04-24,2019-03-12,2019-06-06
CINF,1.05,0.877,2019-04-24 16:05:00,2019-04-24,2019-03-12,2019-06-06
CTXS,1.27,1.173,2019-04-24 16:05:00,2019-04-24,2019-03-12,2019-06-06
FB,1.89,1.619,2019-04-24 16:05:00,2019-04-24,2019-03-12,2019-06-06
FBHS,0.63,0.583,2019-04-24 16:05:00,2019-04-24,2019-03-12,2019-06-06
AMP,3.75,3.6310000000000002,2019-04-24 16:10:00,2019-04-24,2019-03-12,2019-06-06
CMG,3.4,3.013,2019-04-24 16:10:00,2019-04-24,2019-03-12,2019-06-06
NOW,0.67,0.5429999999999999,2019-04-24 16:10:00,2019-04-24,2019-03-12,2019-06-06
DRE,0.33,0.321,2019-04-24 16:12:00,2019-04-24,2019-03-12,2019-06-06
ESS,3.23,3.196,2019-04-24 16:15:00,2019-04-24,2019-03-12,2019-06-06
PYPL,0.78,0.6779999999999999,2019-04-24 16:15:00,2019-04-24,2019-03-12,2019-06-06
AVB,2.3,2.286,2019-04-24 16:16:00,2019-04-24,2019-03-12,2019-06-06
