Ticker,Date,Actual,Estimate
CB,2019-04-30 16:05:00,2.54,2.561
CXO,2019-04-30 16:05:00,0.72,0.761
EXR,2019-04-30 16:05:00,1.16,1.136
MDLZ,2019-04-30 16:05:00,0.65,0.612
EIX,2019-04-30 16:09:00,0.63,0.873
VRSK,2019-04-30 16:11:00,1.03,1.034
CHRW,2019-04-30 16:15:00,1.16,1.144
OKE,2019-04-30 16:15:00,0.81,0.723
UNM,2019-04-30 16:15:00,1.31,1.313
UDR,2019-04-30 16:16:00,0.5,0.503
AMD,2019-04-30 16:20:00,0.06,0.054
EQR,2019-04-30 16:30:00,0.82,0.812
DVN,2019-04-30 16:47:00,0.36,0.276
BXP,2019-04-30 17:15:00,1.72,1.658
HLT,2019-05-01 06:00:00,0.8,0.761
WLTW,2019-05-01 06:00:00,2.98,3.024
ETR,2019-05-01 06:30:00,0.82,0.863
IDXX,2019-05-01 06:30:00,1.17,1.052
NI,2019-05-01 06:30:00,0.82,0.77
SO,2019-05-01 06:45:00,0.7,0.719
AME,2019-05-01 06:55:00,1.0,0.969
CVS,2019-05-01 06:55:00,1.62,1.511
CDW,2019-05-01 07:00:00,1.24,1.11
CME,2019-05-01 07:00:00,1.62,1.597
GRMN,2019-05-01 07:00:00,0.73,0.706
IQV,2019-05-01 07:00:00,1.53,1.506
TAP,2019-05-01 07:00:00,0.52,0.576
SEE,2019-05-01 07:00:00,0.59,0.571
YUM,2019-05-01 07:00:00,0.82,0.813
HUM,2019-05-01 07:32:00,4.48,4.29
RCL,2019-05-01 07:59:00,1.31,1.107
PNW,2019-05-01 08:40:00,0.16,0.168
EQIX,2019-05-01 16:05:00,3.97,4.248
O,2019-05-01 16:05:00,0.81,0.802
AWK,2019-05-01 16:06:00,0.62,0.632
HIG,2019-05-01 16:14:00,1.39,1.234
ES,2019-05-01 16:15:00,0.97,0.914
PEAK,2019-05-01 16:15:00,0.44,0.431
LNC,2019-05-01 16:15:00,2.14,2.034
MET,2019-05-01 16:15:00,1.48,1.272
PSA,2019-05-01 16:15:00,2.53,2.521
WMB,2019-05-01 16:15:00,0.22,0.227
PRU,2019-05-01 16:18:00,3.0,3.144
MAA,2019-05-01 16:20:00,1.58,1.509
ALL,2019-05-01 16:26:00,2.3,2.252
CF,2019-05-01 16:30:00,0.27,0.352
HST,2019-05-01 16:30:00,0.48,0.444
MRO,2019-05-01 16:30:00,0.31,0.07
ANSS,2019-05-01 16:39:00,1.29,1.091
APA,2019-05-01 16:49:00,0.1,0.127
BLL,2019-05-02 06:00:00,0.49,0.511
CI,2019-05-02 06:00:00,3.9,3.744
DD,2019-05-02 06:00:00,2.52,1.38
DOW,2019-05-02 06:02:00,0.83,0.916
HFC,2019-05-02 06:18:00,0.54,0.385
TFX,2019-05-02 06:30:00,2.24,2.126
APTV,2019-05-02 06:45:00,1.05,1.007
EXC,2019-05-02 06:45:00,0.87,0.872
PWR,2019-05-02 06:54:00,0.96,0.823
GPN,2019-05-02 06:55:00,1.34,1.293
UAA,2019-05-02 06:55:00,0.05,-0.001
XYL,2019-05-02 06:55:00,0.52,0.564
CHD,2019-05-02 07:00:00,0.7,0.661
MAC,2019-05-02 07:00:00,0.8,0.798
ZTS,2019-05-02 07:00:00,0.88,0.788
DISCA,2019-05-02 07:02:00,0.87,0.796
MSCI,2019-05-02 07:03:00,1.55,1.4
NRG,2019-05-02 07:07:00,0.33,0.43
SPGI,2019-05-02 07:10:00,2.11,2.134
HBI,2019-05-02 07:15:00,0.27,0.254
HII,2019-05-02 07:15:00,2.85,3.228
ICE,2019-05-02 07:30:00,0.92,0.897
KIM,2019-05-02 07:30:00,0.38,0.357
PEG,2019-05-02 07:30:00,1.08,1.003
K,2019-05-02 08:00:00,1.01,0.948
PPL,2019-05-02 08:00:00,0.7,0.725
VMC,2019-05-02 08:00:00,0.46,0.363
CTSH,2019-05-02 16:01:00,0.91,1.034
GILD,2019-05-02 16:01:00,1.76,1.607
ANET,2019-05-02 16:05:00,2.31,2.07
CBS,2019-05-02 16:05:00,1.37,1.367
FRT,2019-05-02 16:05:00,1.56,1.558
MNST,2019-05-02 16:05:00,0.49,0.424
ATVI,2019-05-02 16:10:00,0.31,0.257
FLS,2019-05-02 16:10:00,0.41,0.341
MSI,2019-05-02 16:10:00,1.28,1.145
EXPE,2019-05-02 16:11:00,-0.27,-0.369
AIV,2019-05-02 16:15:00,0.61,0.601
FTNT,2019-05-02 16:15:00,0.46,0.387
REG,2019-05-02 16:15:00,0.95,0.956
ED,2019-05-02 16:30:00,1.39,1.364
EOG,2019-05-02 16:41:00,1.19,1.024
LNT,2019-05-02 19:00:00,0.53,0.514
XRAY,2019-05-03 06:00:00,0.49,0.386
DISH,2019-05-03 06:02:00,0.65,0.652
NWL,2019-05-03 06:30:00,0.14,0.03
NBL,2019-05-03 06:50:00,-0.09,-0.064
AMT,2019-05-03 07:00:00,1.73,1.55
CBOE,2019-05-03 07:30:00,1.11,0.991
D,2019-05-03 07:30:00,1.1,1.117
BRK/A,2019-05-04 08:00:00,3387.56,3399.097
OXY,2019-05-05 20:25:00,0.84,0.733
AMG,2019-05-06 07:47:00,3.26,3.261
AIZ,2019-05-06 16:15:00,2.33,2.153
RE,2019-05-06 16:15:00,6.91,5.901
AIG,2019-05-06 16:16:00,1.58,1.052
IFF,2019-05-06 16:17:00,1.57,1.502
FMC,2019-05-06 16:30:00,1.72,1.623
PXD,2019-05-06 16:35:00,1.83,1.599
MOS,2019-05-06 17:03:00,0.25,0.241
AES,2019-05-07 06:00:00,0.28,0.299
IT,2019-05-07 06:00:00,0.58,0.527
HSIC,2019-05-07 06:30:00,0.8,0.759
REGN,2019-05-07 06:30:00,4.45,5.706
SRE,2019-05-07 06:55:00,1.92,1.68
AGN,2019-05-07 07:00:00,3.79,3.553
EXPD,2019-05-07 08:30:00,0.8,0.832
MYL,2019-05-07 08:30:00,0.82,0.791
DVA,2019-05-07 16:01:00,0.91,0.931
FANG,2019-05-07 16:01:00,1.39,1.362
TRIP,2019-05-07 16:03:00,0.36,0.315
FLT,2019-05-07 16:05:00,2.67,2.641
WU,2019-05-07 16:05:00,0.39,0.428
MPC,2019-05-08 06:54:00,-0.09,0.05
CBRE,2019-05-08 06:55:00,0.79,0.613
ALB,2019-05-08 16:15:00,1.23,1.273
CTL,2019-05-08 16:15:00,0.34,0.267
XEC,2019-05-08 16:22:00,1.2,1.352
EVRG,2019-05-08 16:50:00,0.44,0.406
PRGO,2019-05-08 17:13:00,1.07,0.945
CNP,2019-05-09 06:30:00,0.46,0.516
DUK,2019-05-09 06:45:00,1.28,1.239
NCLH,2019-05-09 07:00:00,0.83,0.705
AEE,2019-05-09 07:59:00,0.78,0.681
WYNN,2019-05-09 16:02:00,1.61,1.583
BKNG,2019-05-09 16:09:00,11.17,11.324
MTD,2019-05-09 16:10:00,4.1,4.051
LIN,2019-05-10 06:00:00,1.69,1.57
MAR,2019-05-10 06:15:00,1.41,1.337
EFX,2019-05-10 06:34:00,1.2,1.201
AAP,2019-05-22 06:30:00,2.46,2.371
CTVA,2019-05-31 11:01:00,0.31,0.44
ABMD,2019-01-31 07:00:00,0.97,0.946
ACN,2019-03-28 06:50:00,1.73,1.573
AMCR,2019-02-10 06:00:00,0.23,0.283
AZO,2019-02-26 06:59:00,11.49,10.062
ADSK,2019-02-28 16:01:00,0.23,0.421
ADP,2019-01-30 06:56:00,1.34,1.182
BBY,2019-02-27 07:00:00,2.72,2.563
BR,2019-02-07 07:00:00,0.56,0.71
BF/B,2019-03-06 07:45:00,0.47,0.449
CPB,2019-02-27 07:30:00,0.77,0.709
CPRI,2019-02-06 06:30:00,1.76,1.578
KMX,2019-03-29 07:35:00,1.13,1.026
CAH,2019-02-07 06:55:00,1.29,1.094
CTAS,2019-03-21 16:15:00,1.84,1.712
CSCO,2019-02-13 16:05:00,0.73,0.724
CLX,2019-02-04 06:30:00,1.4,1.303
CAG,2019-03-21 07:28:00,0.51,0.488
STZ,2019-01-09 08:25:00,2.37,2.062
CPRT,2019-02-20 18:00:00,0.52,0.507
COST,2019-03-07 16:15:00,2.01,1.692
COTY,2019-02-08 06:30:00,0.24,0.221
DXC,2019-02-07 16:25:00,2.23,2.049
DRI,2019-03-21 07:00:00,1.8,1.746
DG,2019-03-14 06:55:00,1.84,1.883
DLTR,2019-03-06 07:30:00,1.93,1.94
EA,2019-02-05 16:01:00,1.93,1.942
EL,2019-02-05 06:45:00,1.74,1.546
FDX,2019-03-19 16:03:00,3.03,3.117
FOXA,2019-03-18 07:00:00,0.01,0.669
GPS,2019-02-28 16:15:00,0.72,0.688
GIS,2019-03-20 07:00:00,0.83,0.689
HRB,2019-03-07 08:20:00,-0.58,-0.552
HD,2019-02-26 06:00:00,2.27,2.163
INTU,2019-02-21 16:00:00,0.72,0.864
SJM,2019-02-26 07:00:00,2.26,2.014
JKHY,2019-02-05 16:01:00,0.91,0.854
KLAC,2019-01-29 16:15:00,2.44,2.202
KSS,2019-03-05 07:00:00,2.24,2.181
KHC,2019-02-21 17:01:00,0.84,0.939
KR,2019-03-07 07:45:00,0.48,0.526
LB,2019-02-27 16:15:00,2.14,2.081
LHX,2019-01-29 06:00:00,2.67,2.314
LRCX,2019-01-23 16:05:00,3.87,3.664
LW,2019-01-04 08:30:00,0.8,0.722
LOW,2019-02-27 06:00:00,0.8,0.789
M,2019-02-26 08:00:00,2.73,2.53
MXIM,2019-01-29 16:05:00,0.6,0.62
MCK,2019-01-31 16:10:00,3.4,3.162
MDT,2019-02-19 06:49:00,1.29,1.236
MCHP,2019-02-05 16:10:00,1.66,1.565
MU,2019-03-20 16:01:00,1.71,1.654
MSFT,2019-01-30 16:04:00,1.1,1.093
NKE,2019-03-21 16:15:00,0.68,0.647
NVDA,2019-02-14 16:20:00,0.8,0.78
NTAP,2019-02-13 16:01:00,1.2,1.148
NWSA,2019-02-07 16:19:00,0.18,0.14
JWN,2019-02-28 16:05:00,1.48,1.417
NLOK,2019-01-31 16:15:00,0.44,0.39
ORCL,2019-03-14 16:02:00,0.87,0.841
PVH,2019-03-27 16:15:00,1.84,1.751
PH,2019-01-31 07:30:00,2.51,2.423
PAYX,2019-03-27 08:30:00,0.89,0.882
PG,2019-01-23 07:00:00,1.25,1.21
QRVO,2019-02-07 16:00:00,1.85,1.691
RL,2019-02-05 08:01:00,2.32,2.141
RMD,2019-01-24 16:05:00,1.0,0.957
ROST,2019-03-05 16:01:00,1.2,1.131
STX,2019-02-04 16:01:00,1.41,1.282
SYY,2019-02-04 08:00:00,0.75,0.727
TJX,2019-02-27 08:25:00,0.68,0.683
TTWO,2019-02-06 07:00:00,2.9,2.796
TPR,2019-02-07 06:45:00,1.07,1.111
TGT,2019-03-05 06:30:00,1.53,1.527
TIF,2019-03-22 06:40:00,1.67,1.601
ULTA,2019-03-14 16:03:00,3.61,3.557
VFC,2019-01-18 06:55:00,1.31,1.087
WBA,2019-04-02 07:00:00,1.64,1.719
WMT,2019-02-19 07:01:00,1.41,1.336
WDC,2019-01-24 16:10:00,1.45,1.497
XLNX,2019-01-23 16:20:00,0.93,0.844
CRM,2019-03-04 16:05:00,0.33,0.553
